external_party_id,party_id,first_name,last_name,address,products
CUSTR0005,BANK12348,Robert,Jones,127 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456793, ""product_type"": ""ISA"", ""product_description"": ""This is an ISA account."", ""external_system_id"": 1}]"
CUSTR0006,BANK12349,Michael,Brown,128 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456794, ""product_type"": ""Savings Account"", ""product_description"": ""This is a savings account."", ""external_system_id"": 2}]"
CUSTR0007,BANK12350,David,Davis,129 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456795, ""product_type"": ""Current Account"", ""product_description"": ""This is a current account."", ""external_system_id"": 3}]"
CUSTR0008,BANK12351,Linda,Wilson,130 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456796, ""product_type"": ""Business Current Account"", ""product_description"": ""This is a business current account."", ""external_system_id"": 4}]"
CUSTR0009,BANK12352,Christopher,Garcia,131 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456797, ""product_type"": ""Business Savings Account"", ""product_description"": ""This is a business savings account."", ""external_system_id"": 5}]"
CUSTR0010,BANK12353,Barbara,Rodriguez,132 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456798, ""product_type"": ""ISA"", ""product_description"": ""This is an ISA account."", ""external_system_id"": 6}]"
CUSTR0011,BANK12354,Daniel,Williams,133 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456799, ""product_type"": ""Savings Account"", ""product_description"": ""This is a savings account."", ""external_system_id"": 7}]"
CUSTR0012,BANK12355,Elizabeth,Taylor,134 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456800, ""product_type"": ""Current Account"", ""product_description"": ""This is a current account."", ""external_system_id"": 8}]"
CUSTR0013,BANK12356,Anthony,Moore,135 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456801, ""product_type"": ""Business Current Account"", ""product_description"": ""This is a business current account."", ""external_system_id"": 9}]"
CUSTR0014,BANK12357,Margaret,Green,136 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456802, ""product_type"": ""Business Savings Account"", ""product_description"": ""This is a business savings account."", ""external_system_id"": 10}]"
CUSTR0015,BANK12358,James,Hall,137 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456803, ""product_type"": ""ISA"", ""product_description"": ""This is an ISA account."", ""external_system_id"": 11}]"
CUSTR0016,BANK12359,Karen,Wright,138 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456804, ""product_type"": ""Savings Account"", ""product_description"": ""This is a savings account."", ""external_system_id"": 12}]"
CUSTR0017,BANK12360,Thomas,King,139 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456805, ""product_type"": ""Current Account"", ""product_description"": ""This is a current account."", ""external_system_id"": 13}]"
CUSTR0018,BANK12361,Dorothy,Scott,140 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456806, ""product_type"": ""Business Current Account"", ""product_description"": ""This is a business current account."", ""external_system_id"": 14}]"
CUSTR0019,BANK12362,Charles,Nelson,141 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456807, ""product_type"": ""Business Savings Account"", ""product_description"": ""This is a business savings account."", ""external_system_id"": 15}]"
CUSTR0020,BANK12363,Steven,Mitchell,142 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456808, ""product_type"": ""ISA"", ""product_description"": ""This is an ISA account."", ""external_system_id"": 16}]"
CUSTR0021,BANK12364,Lisa,Roberts,143 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456809, ""product_type"": ""Savings Account"", ""product_description"": ""This is a savings account."", ""external_system_id"": 17}]"
CUSTR0022,BANK12365,George,Clark,144 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456810, ""product_type"": ""Current Account"", ""product_description"": ""This is a current account."", ""external_system_id"": 18}]"
CUSTR0023,BANK12366,Nancy,Lewis,145 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456811, ""product_type"": ""Business Current Account"", ""product_description"": ""This is a business current account."", ""external_system_id"": 19}]"
CUSTR0024,BANK12367,Andrew,Lee,146 Main Street, City, Country, LM02 3AB,"[{""product_id"": 3099923456812, ""product_type"": ""Business Savings Account"", ""product_description"": ""This is a business savings account."", ""external_system_id"": 20}]"
